onset	duration	trial_type	stimfile
0.01	15	nullosevent	room3_cond0_B.mov
15.07	2.5	room8	room8_cond6_A.mov
18.12	5.5	nullosevent	room5_cond0_B.mov
23.07	2.5	room6	room6_cond3_A.mov
26.09	5.5	nullosevent	room4_cond0_B.mov
31.07	2.5	room2	room2_cond4_A.mov
34.09	3.5	nullosevent	room1_cond0_B.mov
37.07	2.5	room7	room7_cond7_A.mov
40.07	3.5	nullosevent	room7_cond0_B.mov
43.07	2.5	room6	room6_cond5_A.mov
46.09	5.5	nullosevent	room3_cond0_B.mov
51.07	2.5	room8	room8_cond11_A_left.mov
54.09	3.5	nullosevent	room1_cond0_B.mov
57.07	2.5	room2	room2_cond2_A.mov
60.11	5.5	nullosevent	room5_cond0_B.mov
65.07	2.5	room4	room4_cond13_A_left.mov
68.07	3.5	nullosevent	room5_cond0_B.mov
71.07	2.5	room1	room1_cond14_A_right.mov
74.1	3.5	nullosevent	room8_cond0_B.mov
77.08	2.5	onebacktril	room1_cond14_A_right.mov
80.1	3.5	nullosevent	room4_cond0_B.mov
83.08	2.5	room7	room7_cond8_A.mov
86.1	3.5	nullosevent	room2_cond0_B.mov
89.08	2.5	room3	room3_cond2_A.mov
92.09	3.5	nullosevent	room8_cond0_B.mov
95.07	2.5	room3	room3_cond9_A.mov
98.06	5.5	nullosevent	room5_cond0_B.mov
103.08	2.5	room2	room2_cond12_A_right.mov
106.09	5.5	nullosevent	room7_cond0_B.mov
111.07	2.5	room6	room6_cond10_A.mov
114.09	3.5	nullosevent	room1_cond0_B.mov
117.07	2.5	room4	room4_cond9_A.mov
120.07	3.5	nullosevent	room3_cond0_B.mov
123.07	2.5	room1	room1_cond1_A.mov
126.06	3.5	nullosevent	room5_cond0_B.mov
129.07	2.5	room8	room8_cond5_A.mov
132.09	5.5	nullosevent	room4_cond0_B.mov
137.07	2.5	room7	room7_cond9_A.mov
140.1	3.5	nullosevent	room6_cond0_B.mov
143.07	2.5	onebacktril	room7_cond9_A.mov
146.09	9.5	nullosevent	room3_cond0_B.mov
155.08	2.5	room4	room4_cond13_A_left.mov
158.07	3.5	nullosevent	room1_cond0_B.mov
161.07	2.5	room2	room2_cond2_A.mov
164.1	7.5	nullosevent	room8_cond0_B.mov
171.08	2.5	room6	room6_cond12_A_right.mov
174.06	5.5	nullosevent	room5_cond0_B.mov
179.08	2.5	room7	room7_cond9_A.mov
182.1	5.5	nullosevent	room4_cond0_B.mov
187.08	2.5	room1	room1_cond5_A.mov
190.11	3.5	nullosevent	room3_cond0_B.mov
193.08	2.5	room8	room8_cond13_A_left.mov
196.07	3.5	nullosevent	room2_cond0_B.mov
199.01	2.5	fix	fix
201.51	5.5	nullosevent	room5_cond0_B.mov
207.07	2.5	room6	room6_cond6_A.mov
210.09	3.5	nullosevent	room1_cond0_B.mov
213.07	2.5	onebacktril	room6_cond6_A.mov
216.09	3.5	nullosevent	room8_cond0_B.mov
219.07	2.5	room7	room7_cond3_A.mov
222.07	7.5	nullosevent	room3_cond0_B.mov
