onset	duration	trial_type	stimfile
0.01	15	nullosevent	room4_cond0_B.mov
15.01	2.5	room6	room6_cond7_A.mov
18.04	5.5	nullosevent	room5_cond0_B.mov
23.01	2.5	room3	room3_cond4_A.mov
26.04	3.5	nullosevent	room1_cond0_B.mov
29.01	2.5	onebacktril	room3_cond4_A.mov
32.04	3.5	nullosevent	room7_cond0_B.mov
35.01	2.5	room8	room8_cond4_A.mov
38.04	3.5	nullosevent	room2_cond0_B.mov
41.02	2.5	room1	room1_cond7_A.mov
44	5.5	nullosevent	room5_cond0_B.mov
49.02	2.5	onebacktril	room1_cond7_A.mov
52	3.5	nullosevent	room8_cond0_B.mov
55.02	2.5	room6	room6_cond3_A.mov
58.03	5.5	nullosevent	room7_cond0_B.mov
63.02	2.5	room3	room3_cond1_A.mov
66.03	5.5	nullosevent	room4_cond0_B.mov
71.02	2.5	room3	room3_cond8_A.mov
74	3.5	nullosevent	room8_cond0_B.mov
77.02	2.5	room7	room7_cond3_A.mov
80.01	3.5	nullosevent	room2_cond0_B.mov
83.01	2.5	room1	room1_cond9_A.mov
86.03	3.5	nullosevent	room6_cond0_B.mov
89.01	2.5	room5	room5_cond10_A.mov
92.03	3.5	nullosevent	room1_cond0_B.mov
95.01	2.5	fix	fix
97.51	3.5	nullosevent	room3_cond0_B.mov
101.01	2.5	room6	room6_cond5_A.mov
104.04	3.5	nullosevent	room2_cond0_B.mov
107.01	2.5	room4	room4_cond14_A_right.mov
110.04	3.5	nullosevent	room7_cond0_B.mov
113.01	2.5	room8	room8_cond11_A_left.mov
116.04	3.5	nullosevent	room5_cond0_B.mov
119.01	2.5	room2	room2_cond12_A_right.mov
122.04	3.5	nullosevent	room6_cond0_B.mov
125.01	2.5	room1	room1_cond1_A.mov
128.01	3.5	nullosevent	room7_cond0_B.mov
131.01	2.5	room4	room4_cond9_A.mov
134.01	3.5	nullosevent	room3_cond0_B.mov
137.02	2.5	room8	room8_cond6_A.mov
140.04	3.5	nullosevent	room1_cond0_B.mov
143	2.5	fix	fix
145.5	3.5	nullosevent	room5_cond0_B.mov
149.02	2.5	room4	room4_cond8_A.mov
152	3.5	nullosevent	room2_cond0_B.mov
155.02	2.5	room6	room6_cond10_A.mov
158.03	3.5	nullosevent	room8_cond0_B.mov
161.02	2.5	room7	room7_cond8_A.mov
164.03	7.5	nullosevent	room4_cond0_B.mov
171.02	2.5	room3	room3_cond2_A.mov
174.03	3.5	nullosevent	room1_cond0_B.mov
177.01	2.5	fix	fix
179.51	5.5	nullosevent	room8_cond0_B.mov
185.01	2.5	room6	room6_cond11_A_left.mov
188.05	5.5	nullosevent	room7_cond0_B.mov
193.01	2.5	room2	room2_cond6_A.mov
196.04	3.5	nullosevent	room3_cond0_B.mov
199.01	2.5	room6	room6_cond11_A_left.mov
202.03	3.5	nullosevent	room5_cond0_B.mov
205.01	2.5	room4	room4_cond1_A.mov
208.04	3.5	nullosevent	room1_cond0_B.mov
211.01	2.5	room2	room2_cond14_A_right.mov
214.04	3.5	nullosevent	room8_cond0_B.mov
217.01	2.5	room7	room7_cond13_A_left.mov
220.01	3.5	nullosevent	room6_cond0_B.mov
223.01	2.5	room2	room2_cond5_A.mov
226.02	9.5	nullosevent	room8_cond0_B.mov
235	2.5	fix	fix
237.5	3.5	nullosevent	room1_cond0_B.mov
241.02	2.5	room3	room3_cond2_A.mov
244.04	3.5	nullosevent	room4_cond0_B.mov
247.02	2.5	room7	room7_cond13_A_left.mov
250	3.5	nullosevent	room3_cond0_B.mov
253.02	2.5	room2	room2_cond11_A_left.mov
