onset	duration	trial_type	stimfile
0	15	nullosevent	room1_cond0_B.mov
15.07	2.5	room5	room5_cond7_A.mov
18.14	3.5	nullosevent	room3_cond0_B.mov
21.07	2.5	room6	room6_cond10_A.mov
24.09	3.5	nullosevent	room2_cond0_B.mov
27.07	2.5	room4	room4_cond6_A.mov
30.09	3.5	nullosevent	room7_cond0_B.mov
33.07	2.5	room8	room8_cond8_A.mov
36.07	3.5	nullosevent	room5_cond0_B.mov
39.07	2.5	room2	room2_cond4_A.mov
42.09	5.5	nullosevent	room6_cond0_B.mov
47.07	2.5	room1	room1_cond5_A.mov
50.11	7.5	nullosevent	room7_cond0_B.mov
57.08	2.5	room4	room4_cond12_A_right.mov
60.11	3.5	nullosevent	room3_cond0_B.mov
63.07	2.5	room8	room8_cond9_A.mov
66.1	3.5	nullosevent	room1_cond0_B.mov
69.08	2.5	room3	room3_cond2_A.mov
72.11	3.5	nullosevent	room5_cond0_B.mov
75.08	2.5	room4	room4_cond11_A_left.mov
78.1	9.5	nullosevent	room2_cond0_B.mov
87.07	2.5	room6	room6_cond3_A.mov
90.11	3.5	nullosevent	room8_cond0_B.mov
93.08	2.5	onebacktril	room6_cond3_A.mov
96.09	3.5	nullosevent	room4_cond0_B.mov
99.08	2.5	room3	room3_cond13_A_left.mov
102.07	3.5	nullosevent	room1_cond0_B.mov
105.08	2.5	room5	room5_cond6_A.mov
108.07	3.5	nullosevent	room8_cond0_B.mov
111.08	2.5	room6	room6_cond10_A.mov
114.09	5.5	nullosevent	room7_cond0_B.mov
119.07	2.5	room2	room2_cond9_A.mov
122.09	9.5	nullosevent	room3_cond0_B.mov
131.07	2.5	room6	room6_cond13_A_left.mov
134.1	3.5	nullosevent	room5_cond0_B.mov
137.07	2.5	room4	room4_cond9_A.mov
140.05	3.5	nullosevent	room1_cond0_B.mov
143.07	2.5	room2	room2_cond5_A.mov
146.1	7.5	nullosevent	room8_cond0_B.mov
153.07	2.5	room7	room7_cond1_A.mov
156.1	3.5	nullosevent	room6_cond0_B.mov
159.07	2.5	room2	room2_cond6_A.mov
162.1	3.5	nullosevent	room8_cond0_B.mov
165.08	2.5	room5	room5_cond11_A_left.mov
168.1	3.5	nullosevent	room1_cond0_B.mov
171.08	2.5	room3	room3_cond13_A_left.mov
174.06	3.5	nullosevent	room4_cond0_B.mov
177.08	2.5	room7	room7_cond14_A_right.mov
180.1	5.5	nullosevent	room3_cond0_B.mov
185.07	2.5	room2	room2_cond7_A.mov
188.1	3.5	nullosevent	room6_cond0_B.mov
191.07	2.5	room7	room7_cond12_A_right.mov
194.06	5.5	nullosevent	room5_cond0_B.mov
199.07	2.5	room8	room8_cond7_A.mov
202.06	7.5	nullosevent	room4_cond0_B.mov
209.07	2.5	room1	room1_cond8_A.mov
212.09	5.5	nullosevent	room1_cond0_B.mov
217.01	2.5	fix	fix
219.51	3.5	nullosevent	room6_cond0_B.mov
223.07	2.5	room2	room2_cond4_A.mov
226.09	5.5	nullosevent	room7_cond0_B.mov
231	2.5	fix	fix
233.5	3.5	nullosevent	room3_cond0_B.mov
237.07	2.5	room8	room8_cond10_A.mov
240.09	3.5	nullosevent	room7_cond0_B.mov
243.07	2.5	room2	room2_cond4_A.mov
246.09	5.5	nullosevent	room6_cond0_B.mov
251.07	2.5	room1	room1_cond14_A_right.mov
254.09	3.5	nullosevent	room4_cond0_B.mov
257.07	2.5	room5	room5_cond8_A.mov
260.05	3.5	nullosevent	room8_cond0_B.mov
263.09	2.5	room3	room3_cond5_A.mov
266.1	5.5	nullosevent	room3_cond0_B.mov
271.01	2.5	fix	fix
273.51	7.5	nullosevent	room2_cond0_B.mov
281.09	2.5	room8	room8_cond3_A.mov
284.1	3.5	nullosevent	room4_cond0_B.mov
287.08	2.5	room1	room1_cond11_A_left.mov
290.1	3.5	nullosevent	room6_cond0_B.mov
293.08	2.5	room7	room7_cond2_A.mov
296.1	3.5	nullosevent	room2_cond0_B.mov
299.09	2.5	room3	room3_cond14_A_right.mov
302.09	3.5	nullosevent	room7_cond0_B.mov
305.08	2.5	room1	room1_cond5_A.mov
308.1	3.5	nullosevent	room6_cond0_B.mov
311.09	2.5	onebacktril	room1_cond5_A.mov
314.11	3.5	nullosevent	room8_cond0_B.mov
317.09	2.5	room4	room4_cond3_A.mov
320.11	3.5	nullosevent	room8_cond0_B.mov
323.09	2.5	room6	room6_cond7_A.mov
326.07	3.5	nullosevent	room7_cond0_B.mov
329.09	2.5	room3	room3_cond2_A.mov
332.1	3.5	nullosevent	room4_cond0_B.mov
335.09	2.5	room1	room1_cond1_A.mov
338.07	3.5	nullosevent	room2_cond0_B.mov
341.09	2.5	room5	room5_cond10_A.mov
344.09	3.5	nullosevent	room4_cond0_B.mov
347.09	2.5	room2	room2_cond11_A_left.mov
350.1	7.5	nullosevent	room1_cond0_B.mov
357.09	2.5	room5	room5_cond4_A.mov
360.1	5.5	nullosevent	room8_cond0_B.mov
365.08	2.5	room6	room6_cond12_A_right.mov
368.07	3.5	nullosevent	room7_cond0_B.mov
371.08	2.5	room3	room3_cond1_A.mov
374.1	3.5	nullosevent	room8_cond0_B.mov
377.08	2.5	room5	room5_cond14_A_right.mov
380.1	3.5	nullosevent	room6_cond0_B.mov
383.08	2.5	room7	room7_cond9_A.mov
386.1	5.5	nullosevent	room3_cond0_B.mov
391.08	2.5	room4	room4_cond3_A.mov
394.1	3.5	nullosevent	room2_cond0_B.mov
397.08	2.5	room1	room1_cond1_A.mov
400.07	3.5	nullosevent	room3_cond0_B.mov
403.08	2.5	room4	room4_cond8_A.mov
406.07	3.5	nullosevent	room6_cond0_B.mov
409.08	2.5	room2	room2_cond13_A_left.mov
412.07	5.5	nullosevent	room7_cond0_B.mov
417.09	2.5	onebacktril	room2_cond13_A_left.mov
