onset	duration	trial_type	stimfile
0.02	15	nullosevent	room3_cond0_B.mov
15.07	2.5	room6	room6_cond2_A.mov
18.1	3.5	nullosevent	room2_cond0_B.mov
21.07	2.5	room8	room8_cond10_A.mov
24.08	7.5	nullosevent	room4_cond0_B.mov
31.08	2.5	room7	room7_cond13_A_left.mov
34.07	5.5	nullosevent	room5_cond0_B.mov
39.08	2.5	room1	room1_cond3_A.mov
42.08	3.5	nullosevent	room1_cond0_B.mov
45.07	2.5	room5	room5_cond11_A_left.mov
48.1	3.5	nullosevent	room2_cond0_B.mov
51.08	2.5	room8	room8_cond5_A.mov
54.07	5.5	nullosevent	room6_cond0_B.mov
59.08	2.5	room7	room7_cond3_A.mov
62.07	7.5	nullosevent	room3_cond0_B.mov
69.08	2.5	room4	room4_cond5_A.mov
72.11	3.5	nullosevent	room2_cond0_B.mov
75.08	2.5	room5	room5_cond13_A_left.mov
78.08	3.5	nullosevent	room3_cond0_B.mov
81.08	2.5	room7	room7_cond2_A.mov
84.1	5.5	nullosevent	room6_cond0_B.mov
89.02	2.5	fix	fix
91.52	3.5	nullosevent	room8_cond0_B.mov
95.07	2.5	room4	room4_cond10_A.mov
98.09	3.5	nullosevent	room3_cond0_B.mov
101.09	2.5	room2	room2_cond6_A.mov
104.1	3.5	nullosevent	room1_cond0_B.mov
107.08	2.5	room6	room6_cond7_A.mov
110.07	3.5	nullosevent	room8_cond0_B.mov
113.07	2.5	room4	room4_cond8_A.mov
116.07	3.5	nullosevent	room7_cond0_B.mov
119.07	2.5	room5	room5_cond9_A.mov
122.1	5.5	nullosevent	room3_cond0_B.mov
127.07	2.5	room4	room4_cond8_A.mov
130.07	3.5	nullosevent	room8_cond0_B.mov
133.07	2.5	room5	room5_cond3_A.mov
136.1	3.5	nullosevent	room6_cond0_B.mov
139.07	2.5	room7	room7_cond9_A.mov
142.1	3.5	nullosevent	room1_cond0_B.mov
145.08	2.5	room2	room2_cond12_A_right.mov
148.1	3.5	nullosevent	room5_cond0_B.mov
151.07	2.5	room8	room8_cond7_A.mov
154.07	3.5	nullosevent	room1_cond0_B.mov
157.08	2.5	room7	room7_cond2_A.mov
160.09	9.5	nullosevent	room6_cond0_B.mov
169.08	2.5	room4	room4_cond5_A.mov
172.09	3.5	nullosevent	room3_cond0_B.mov
175.02	2.5	fix	fix
177.52	3.5	nullosevent	room4_cond0_B.mov
181.08	2.5	room1	room1_cond4_A.mov
184.07	3.5	nullosevent	room2_cond0_B.mov
187.07	2.5	room6	room6_cond7_A.mov
190.07	3.5	nullosevent	room5_cond0_B.mov
193.09	2.5	room8	room8_cond9_A.mov
196.11	3.5	nullosevent	room7_cond0_B.mov
199.09	2.5	room3	room3_cond4_A.mov
202.1	3.5	nullosevent	room6_cond0_B.mov
205.07	2.5	room2	room2_cond9_A.mov
208.1	7.5	nullosevent	room3_cond0_B.mov
215.09	2.5	room4	room4_cond1_A.mov
218.1	7.5	nullosevent	room8_cond0_B.mov
225.08	2.5	room1	room1_cond14_A_right.mov
228.1	3.5	nullosevent	room7_cond0_B.mov
231.08	2.5	room5	room5_cond1_A.mov
234.07	5.5	nullosevent	room1_cond0_B.mov
239.08	2.5	room6	room6_cond11_A_left.mov
