onset	duration	trial_type	stimfile
0.01	15	nullosevent	room3_cond0_B.mov
15.07	2.5	room8	room8_cond4_A.mov
18.13	5.5	nullosevent	room2_cond0_B.mov
23.1	2.5	room4	room4_cond3_A.mov
26.12	3.5	nullosevent	room6_cond0_B.mov
29.07	2.5	room7	room7_cond8_A.mov
32.1	3.5	nullosevent	room5_cond0_B.mov
35.08	2.5	room1	room1_cond12_A_right.mov
38.07	5.5	nullosevent	room6_cond0_B.mov
43.02	2.5	fix	fix
45.52	5.5	nullosevent	room7_cond0_B.mov
51.08	2.5	room2	room2_cond7_A.mov
54.1	3.5	nullosevent	room8_cond0_B.mov
57.08	2.5	room1	room1_cond4_A.mov
60.08	5.5	nullosevent	room3_cond0_B.mov
65.01	2.5	fix	fix
67.51	3.5	nullosevent	room2_cond0_B.mov
71.08	2.5	room1	room1_cond6_A.mov
74.1	7.5	nullosevent	room5_cond0_B.mov
81.08	2.5	room3	room3_cond14_A_right.mov
84.1	3.5	nullosevent	room6_cond0_B.mov
87.08	2.5	room4	room4_cond3_A.mov
90.1	5.5	nullosevent	room8_cond0_B.mov
95.08	2.5	room7	room7_cond5_A.mov
98.07	3.5	nullosevent	room6_cond0_B.mov
101.08	2.5	room7	room7_cond10_A.mov
104.1	9.5	nullosevent	room1_cond0_B.mov
113.08	2.5	room4	room4_cond2_A.mov
116.06	5.5	nullosevent	room8_cond0_B.mov
121.08	2.5	room5	room5_cond11_A_left.mov
124.1	3.5	nullosevent	room3_cond0_B.mov
127.08	2.5	room2	room2_cond5_A.mov
130.1	9.5	nullosevent	room1_cond0_B.mov
139.08	2.5	room5	room5_cond8_A.mov
142.07	3.5	nullosevent	room3_cond0_B.mov
145.07	2.5	room2	room2_cond7_A.mov
148.1	3.5	nullosevent	room4_cond0_B.mov
151.08	2.5	room8	room8_cond2_A.mov
154.1	5.5	nullosevent	room7_cond0_B.mov
159.08	2.5	room6	room6_cond6_A.mov
162.1	3.5	nullosevent	room7_cond0_B.mov
165.08	2.5	room1	room1_cond1_A.mov
168.06	3.5	nullosevent	room5_cond0_B.mov
171.08	2.5	room4	room4_cond4_A.mov
174.09	3.5	nullosevent	room8_cond0_B.mov
177.08	2.5	room6	room6_cond11_A_left.mov
180.09	3.5	nullosevent	room3_cond0_B.mov
183.08	2.5	room2	room2_cond12_A_right.mov
186.11	3.5	nullosevent	room4_cond0_B.mov
189.09	2.5	room1	room1_cond3_A.mov
192.08	5.5	nullosevent	room6_cond0_B.mov
197.08	2.5	room2	room2_cond2_A.mov
200.11	5.5	nullosevent	room3_cond0_B.mov
205.08	2.5	room8	room8_cond7_A.mov
208.05	3.5	nullosevent	room5_cond0_B.mov
211.08	2.5	room7	room7_cond10_A.mov
214.1	5.5	nullosevent	room4_cond0_B.mov
219.08	2.5	room8	room8_cond8_A.mov
222.08	5.5	nullosevent	room2_cond0_B.mov
227.08	2.5	room6	room6_cond13_A_left.mov
230.09	3.5	nullosevent	room3_cond0_B.mov
233.08	2.5	room5	room5_cond9_A.mov
236.1	3.5	nullosevent	room1_cond0_B.mov
239.16	2.5	onebacktril	room5_cond9_A.mov
242.18	9.5	nullosevent	room6_cond0_B.mov
251.08	2.5	room1	room1_cond11_A_left.mov
254.1	3.5	nullosevent	room4_cond0_B.mov
257.08	2.5	onebacktril	room1_cond11_A_left.mov
260.1	3.5	nullosevent	room2_cond0_B.mov
263.08	2.5	room7	room7_cond12_A_right.mov
266.08	3.5	nullosevent	room5_cond0_B.mov
269.08	2.5	room3	room3_cond10_A.mov
272.11	5.5	nullosevent	room2_cond0_B.mov
277.08	2.5	room4	room4_cond12_A_right.mov
280.09	3.5	nullosevent	room8_cond0_B.mov
283.08	2.5	room1	room1_cond9_A.mov
286.09	5.5	nullosevent	room6_cond0_B.mov
291.08	2.5	room3	room3_cond14_A_right.mov
294.09	5.5	nullosevent	room7_cond0_B.mov
299.09	2.5	room5	room5_cond2_A.mov
302.11	3.5	nullosevent	room4_cond0_B.mov
305.08	2.5	room2	room2_cond8_A.mov
308.1	3.5	nullosevent	room8_cond0_B.mov
311.08	2.5	onebacktril	room2_cond8_A.mov
314.1	3.5	nullosevent	room3_cond0_B.mov
317.09	2.5	room5	room5_cond4_A.mov
320.12	3.5	nullosevent	room6_cond0_B.mov
323.08	2.5	room7	room7_cond13_A_left.mov
326.08	5.5	nullosevent	room4_cond0_B.mov
331.08	2.5	room6	room6_cond1_A.mov
334.1	3.5	nullosevent	room3_cond0_B.mov
337.08	2.5	room5	room5_cond6_A.mov
340.07	3.5	nullosevent	room1_cond0_B.mov
343.08	2.5	room2	room2_cond5_A.mov
346.1	3.5	nullosevent	room8_cond0_B.mov
349.1	2.5	room7	room7_cond11_A_left.mov
352.13	5.5	nullosevent	room7_cond0_B.mov
357.08	2.5	room4	room4_cond7_A.mov
360.09	3.5	nullosevent	room6_cond0_B.mov
363.08	2.5	onebacktril	room4_cond7_A.mov
366.09	3.5	nullosevent	room8_cond0_B.mov
369.01	2.5	fix	fix
371.51	3.5	nullosevent	room2_cond0_B.mov
375.08	2.5	room5	room5_cond9_A.mov
378.09	3.5	nullosevent	room6_cond0_B.mov
381.08	2.5	room4	room4_cond1_A.mov
384.11	3.5	nullosevent	room1_cond0_B.mov
387.08	2.5	room5	room5_cond5_A.mov
390.11	3.5	nullosevent	room2_cond0_B.mov
393.08	2.5	room3	room3_cond14_A_right.mov
396.09	3.5	nullosevent	room8_cond0_B.mov
399.08	2.5	room7	room7_cond6_A.mov
402.11	3.5	nullosevent	room3_cond0_B.mov
405.09	2.5	room4	room4_cond9_A.mov
408.08	3.5	nullosevent	room5_cond0_B.mov
411.07	2.5	room2	room2_cond13_A_left.mov
414.08	3.5	nullosevent	room1_cond0_B.mov
417.07	2.5	room7	room7_cond10_A.mov
420.1	5.5	nullosevent	room6_cond0_B.mov
425.08	2.5	room8	room8_cond13_A_left.mov
428.07	3.5	nullosevent	room1_cond0_B.mov
431.02	2.5	fix	fix
433.52	3.5	nullosevent	room7_cond0_B.mov
437.08	2.5	room4	room4_cond1_A.mov
440.1	3.5	nullosevent	room2_cond0_B.mov
443.08	2.5	room8	room8_cond3_A.mov
446.11	3.5	nullosevent	room5_cond0_B.mov
449.08	2.5	room3	room3_cond14_A_right.mov
452.08	3.5	nullosevent	room8_cond0_B.mov
455.01	15	nullosevent	room2_cond0_A.mov
