onset	duration	trial_type	stimfile
0	15	nullosevent	room6_cond0_B.mov
15.08	2.5	room7	room7_cond7_A.mov
18.11	5.5	nullosevent	room4_cond0_B.mov
23.08	2.5	room1	room1_cond4_A.mov
26.07	3.5	nullosevent	room2_cond0_B.mov
29.07	2.5	onebacktril	room1_cond4_A.mov
32.07	3.5	nullosevent	room5_cond0_B.mov
35.07	2.5	room8	room8_cond4_A.mov
38.09	3.5	nullosevent	room6_cond0_B.mov
41.07	2.5	room8	room8_cond7_A.mov
44.07	5.5	nullosevent	room5_cond0_B.mov
49.07	2.5	onebacktril	room8_cond7_A.mov
52.05	3.5	nullosevent	room2_cond0_B.mov
55.08	2.5	room4	room4_cond3_A.mov
58.12	5.5	nullosevent	room7_cond0_B.mov
63.08	2.5	room1	room1_cond1_A.mov
66.07	5.5	nullosevent	room5_cond0_B.mov
71.07	2.5	room4	room4_cond8_A.mov
74.07	3.5	nullosevent	room8_cond0_B.mov
77.08	2.5	room1	room1_cond3_A.mov
80.07	3.5	nullosevent	room3_cond0_B.mov
83.08	2.5	room6	room6_cond9_A.mov
86.08	3.5	nullosevent	room2_cond0_B.mov
89.08	2.5	room7	room7_cond10_A.mov
92.1	3.5	nullosevent	room8_cond0_B.mov
95.02	2.5	fix	fix
97.52	3.5	nullosevent	room5_cond0_B.mov
101.08	2.5	room3	room3_cond5_A.mov
104.1	3.5	nullosevent	room7_cond0_B.mov
107.07	2.5	room2	room2_cond14_A_right.mov
110.09	3.5	nullosevent	room6_cond0_B.mov
113.07	2.5	room4	room4_cond11_A_left.mov
116.1	3.5	nullosevent	room6_cond0_B.mov
119.08	2.5	room1	room1_cond12_A_right.mov
122.07	3.5	nullosevent	room8_cond0_B.mov
125.07	2.5	room4	room4_cond1_A.mov
128.1	3.5	nullosevent	room3_cond0_B.mov
131.07	2.5	room7	room7_cond9_A.mov
134.1	3.5	nullosevent	room2_cond0_B.mov
137.07	2.5	room5	room5_cond6_A.mov
140.07	3.5	nullosevent	room5_cond0_B.mov
143.02	2.5	fix	fix
145.52	3.5	nullosevent	room3_cond0_B.mov
149.08	2.5	room2	room2_cond8_A.mov
152.1	3.5	nullosevent	room8_cond0_B.mov
155.08	2.5	room4	room4_cond10_A.mov
158.1	3.5	nullosevent	room6_cond0_B.mov
161.08	2.5	room7	room7_cond8_A.mov
164.1	7.5	nullosevent	room1_cond0_B.mov
171.08	2.5	room5	room5_cond2_A.mov
174.12	3.5	nullosevent	room3_cond0_B.mov
177.02	2.5	fix	fix
179.52	5.5	nullosevent	room6_cond0_B.mov
185.08	2.5	room2	room2_cond11_A_left.mov
188.1	5.5	nullosevent	room4_cond0_B.mov
193.08	2.5	room7	room7_cond6_A.mov
196.12	3.5	nullosevent	room7_cond0_B.mov
199.08	2.5	room8	room8_cond11_A_left.mov
202.1	3.5	nullosevent	room3_cond0_B.mov
205.08	2.5	room5	room5_cond1_A.mov
208.07	3.5	nullosevent	room6_cond0_B.mov
211.08	2.5	room1	room1_cond14_A_right.mov
214.1	3.5	nullosevent	room2_cond0_B.mov
217.08	2.5	room4	room4_cond13_A_left.mov
220.07	3.5	nullosevent	room8_cond0_B.mov
223.07	2.5	room3	room3_cond5_A.mov
226.09	9.5	nullosevent	room2_cond0_B.mov
235.01	2.5	fix	fix
237.51	3.5	nullosevent	room6_cond0_B.mov
241.09	2.5	room4	room4_cond2_A.mov
244.07	3.5	nullosevent	room1_cond0_B.mov
247.08	2.5	room7	room7_cond13_A_left.mov
