onset	duration	trial_type	stimfile
0.02	15	nullosevent	room7_cond0_B.mov
15.08	2.5	room1	room1_cond7_A.mov
18.1	5.5	nullosevent	room8_cond0_B.mov
23.08	2.5	room4	room4_cond4_A.mov
26.1	3.5	nullosevent	room3_cond0_B.mov
29.07	2.5	onebacktril	room4_cond4_A.mov
32.1	3.5	nullosevent	room5_cond0_B.mov
35.08	2.5	room2	room2_cond4_A.mov
38.1	3.5	nullosevent	room7_cond0_B.mov
41.08	2.5	room3	room3_cond7_A.mov
44.1	5.5	nullosevent	room6_cond0_B.mov
49.1	2.5	onebacktril	room3_cond7_A.mov
52.12	3.5	nullosevent	room2_cond0_B.mov
55.07	2.5	room4	room4_cond3_A.mov
58.1	5.5	nullosevent	room8_cond0_B.mov
63.08	2.5	room1	room1_cond1_A.mov
66.06	5.5	nullosevent	room7_cond0_B.mov
71.08	2.5	room3	room3_cond8_A.mov
74.06	3.5	nullosevent	room1_cond0_B.mov
77.06	2.5	room4	room4_cond3_A.mov
80.1	3.5	nullosevent	room2_cond0_B.mov
83.08	2.5	room6	room6_cond9_A.mov
86.1	3.5	nullosevent	room8_cond0_B.mov
89.08	2.5	room5	room5_cond10_A.mov
92.1	3.5	nullosevent	room3_cond0_B.mov
95.01	2.5	fix	fix
97.51	3.5	nullosevent	room4_cond0_B.mov
101.08	2.5	room1	room1_cond5_A.mov
104.1	3.5	nullosevent	room8_cond0_B.mov
107.07	2.5	room7	room7_cond14_A_right.mov
110.1	3.5	nullosevent	room2_cond0_B.mov
113.1	2.5	room5	room5_cond11_A_left.mov
116.1	3.5	nullosevent	room4_cond0_B.mov
119.08	2.5	room5	room5_cond12_A_right.mov
122.06	3.5	nullosevent	room3_cond0_B.mov
125.08	2.5	room7	room7_cond1_A.mov
128.1	3.5	nullosevent	room2_cond0_B.mov
131.08	2.5	room1	room1_cond9_A.mov
134.1	3.5	nullosevent	room6_cond0_B.mov
137.08	2.5	room8	room8_cond6_A.mov
140.1	3.5	nullosevent	room1_cond0_B.mov
143.02	2.5	fix	fix
145.52	3.5	nullosevent	room2_cond0_B.mov
149.08	2.5	room7	room7_cond8_A.mov
152.1	3.5	nullosevent	room4_cond0_B.mov
155.08	2.5	room6	room6_cond10_A.mov
158.1	3.5	nullosevent	room8_cond0_B.mov
161.08	2.5	room3	room3_cond8_A.mov
164.06	7.5	nullosevent	room8_cond0_B.mov
171.08	2.5	room1	room1_cond2_A.mov
174.11	3.5	nullosevent	room3_cond0_B.mov
177.01	2.5	fix	fix
179.51	5.5	nullosevent	room5_cond0_B.mov
185.08	2.5	room6	room6_cond11_A_left.mov
188.11	5.5	nullosevent	room2_cond0_B.mov
193.08	2.5	room4	room4_cond6_A.mov
196.1	3.5	nullosevent	room5_cond0_B.mov
199.09	2.5	room1	room1_cond11_A_left.mov
202.1	3.5	nullosevent	room8_cond0_B.mov
205.08	2.5	room4	room4_cond1_A.mov
208.1	3.5	nullosevent	room6_cond0_B.mov
211.08	2.5	room2	room2_cond14_A_right.mov
214.1	3.5	nullosevent	room7_cond0_B.mov
217.09	2.5	room3	room3_cond13_A_left.mov
220.08	3.5	nullosevent	room4_cond0_B.mov
223.1	2.5	room7	room7_cond5_A.mov
226.09	9.5	nullosevent	room2_cond0_B.mov
235.02	2.5	fix	fix
237.52	3.5	nullosevent	room8_cond0_B.mov
241.08	2.5	room1	room1_cond2_A.mov
244.1	3.5	nullosevent	room3_cond0_B.mov
247.08	2.5	room6	room6_cond13_A_left.mov
250.1	3.5	nullosevent	room4_cond0_B.mov
253.08	2.5	room6	room6_cond11_A_left.mov
256.1	3.5	nullosevent	room8_cond0_B.mov
259.08	2.5	room3	room3_cond4_A.mov
262.1	3.5	nullosevent	room2_cond0_B.mov
265.08	2.5	room1	room1_cond13_A_left.mov
268.06	3.5	nullosevent	room5_cond0_B.mov
271.08	2.5	room7	room7_cond3_A.mov
274.08	7.5	nullosevent	room2_cond0_B.mov
281.08	2.5	room5	room5_cond8_A.mov
284.06	3.5	nullosevent	room4_cond0_B.mov
287.08	2.5	room8	room8_cond5_A.mov
290.08	3.5	nullosevent	room3_cond0_B.mov
293.08	2.5	room1	room1_cond9_A.mov
296.09	5.5	nullosevent	room6_cond0_B.mov
301.08	2.5	room7	room7_cond1_A.mov
304.09	7.5	nullosevent	room3_cond0_B.mov
311.09	2.5	room5	room5_cond10_A.mov
314.11	7.5	nullosevent	room4_cond0_B.mov
321.09	2.5	room6	room6_cond12_A_right.mov
324.08	3.5	nullosevent	room1_cond0_B.mov
327.09	2.5	room8	room8_cond13_A_left.mov
330.08	3.5	nullosevent	room7_cond0_B.mov
333.08	2.5	room2	room2_cond14_A_right.mov
336.11	3.5	nullosevent	room7_cond0_B.mov
339.08	2.5	room2	room2_cond6_A.mov
342.11	3.5	nullosevent	room8_cond0_B.mov
345.08	2.5	room5	room5_cond4_A.mov
348.12	3.5	nullosevent	room4_cond0_B.mov
351.08	2.5	room6	room6_cond10_A.mov
354.1	7.5	nullosevent	room1_cond0_B.mov
361.08	2.5	room3	room3_cond3_A.mov
364.11	5.5	nullosevent	room1_cond0_B.mov
369.08	2.5	room8	room8_cond2_A.mov
372.09	5.5	nullosevent	room7_cond0_B.mov
377.08	2.5	room5	room5_cond6_A.mov
380.08	3.5	nullosevent	room2_cond0_B.mov
383.06	2.5	onebacktril	room5_cond6_A.mov
386.06	7.5	nullosevent	room6_cond0_B.mov
393.08	2.5	room4	room4_cond14_A_right.mov
396.11	3.5	nullosevent	room3_cond0_B.mov
399.08	2.5	room5	room5_cond12_A_right.mov
402.08	9.5	nullosevent	room2_cond0_B.mov
411.09	2.5	room7	room7_cond7_A.mov
414.08	3.5	nullosevent	room4_cond0_B.mov
417.09	2.5	room6	room6_cond12_A_right.mov
420.08	3.5	nullosevent	room8_cond0_B.mov
423.09	2.5	room1	room1_cond2_A.mov
426.11	3.5	nullosevent	room2_cond0_B.mov
429.08	2.5	onebacktril	room1_cond2_A.mov
432.11	3.5	nullosevent	room1_cond0_B.mov
435.08	2.5	room6	room6_cond5_A.mov
438.1	3.5	nullosevent	room5_cond0_B.mov
441.08	2.5	room8	room8_cond7_A.mov
444.07	5.5	nullosevent	room7_cond0_B.mov
449.08	2.5	room4	room4_cond9_A.mov
452.08	3.5	nullosevent	room1_cond0_B.mov
455.01	15	nullosevent	room2_cond0_A.mov
